 INFO  Accepting connections at http://localhost:8005
 HTTP  2/5/2026 5:57:24 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 5:58:25 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 5:58:25 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 5:58:56 PM 127.0.0.1 GET /
 HTTP  2/5/2026 5:58:56 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 5:58:56 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 5:58:56 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 5:59:18 PM 127.0.0.1 GET /
 HTTP  2/5/2026 5:59:18 PM 127.0.0.1 Returned 200 in 0 ms
 HTTP  2/5/2026 5:59:18 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 5:59:18 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 6:00:20 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 6:00:20 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 6:01:20 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 6:01:20 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 6:02:25 PM 127.0.0.1 GET /
 HTTP  2/5/2026 6:02:25 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 6:04:58 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 6:04:58 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 6:05:58 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 6:05:58 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 6:06:58 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 6:06:58 PM 127.0.0.1 Returned 200 in 0 ms
 HTTP  2/5/2026 6:09:09 PM 127.0.0.1 GET /
 HTTP  2/5/2026 6:09:09 PM 127.0.0.1 Returned 200 in 0 ms
 HTTP  2/5/2026 6:09:09 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 6:09:09 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  2/5/2026 6:10:10 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 6:10:10 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 6:11:30 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 6:11:30 PM 127.0.0.1 Returned 200 in 0 ms
 HTTP  2/5/2026 6:27:50 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 6:27:50 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  2/5/2026 6:28:50 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 6:28:50 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  2/5/2026 6:32:53 PM 127.0.0.1 GET /
 HTTP  2/5/2026 6:32:53 PM 127.0.0.1 Returned 200 in 0 ms
 HTTP  2/5/2026 6:32:54 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 6:32:54 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 6:43:40 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 6:43:40 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  2/5/2026 6:59:38 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 6:59:38 PM 127.0.0.1 Returned 200 in 0 ms
 HTTP  2/5/2026 7:01:58 PM 127.0.0.1 GET /
 HTTP  2/5/2026 7:01:58 PM 127.0.0.1 Returned 200 in 0 ms
 HTTP  2/5/2026 7:02:24 PM 127.0.0.1 GET /
 HTTP  2/5/2026 7:02:24 PM 127.0.0.1 Returned 200 in 0 ms
 HTTP  2/5/2026 7:02:26 PM 127.0.0.1 GET /favicon.ico
 HTTP  2/5/2026 7:02:26 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 7:03:32 PM 127.0.0.1 GET /
 HTTP  2/5/2026 7:03:32 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 7:03:35 PM 127.0.0.1 GET /favicon.ico
 HTTP  2/5/2026 7:03:35 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 7:05:08 PM 127.0.0.1 GET /
 HTTP  2/5/2026 7:05:08 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 7:06:08 PM 127.0.0.1 GET /
 HTTP  2/5/2026 7:06:08 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 7:06:09 PM 127.0.0.1 GET /
 HTTP  2/5/2026 7:06:09 PM 127.0.0.1 Returned 200 in 0 ms
 HTTP  2/5/2026 7:06:21 PM 127.0.0.1 GET /favicon.ico
 HTTP  2/5/2026 7:06:21 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 7:07:08 PM 127.0.0.1 GET /
 HTTP  2/5/2026 7:07:08 PM 127.0.0.1 Returned 200 in 0 ms
 HTTP  2/5/2026 7:07:23 PM 127.0.0.1 GET /
 HTTP  2/5/2026 7:07:23 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 7:07:24 PM 127.0.0.1 GET /
 HTTP  2/5/2026 7:07:24 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  2/5/2026 7:08:10 PM 127.0.0.1 GET /
 HTTP  2/5/2026 7:08:10 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 7:08:13 PM 127.0.0.1 GET /
 HTTP  2/5/2026 7:08:13 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 7:08:25 PM 127.0.0.1 GET /
 HTTP  2/5/2026 7:08:25 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 7:08:29 PM 127.0.0.1 GET /
 HTTP  2/5/2026 7:08:29 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 7:08:30 PM 127.0.0.1 GET /
 HTTP  2/5/2026 7:08:30 PM 127.0.0.1 Returned 200 in 0 ms
 HTTP  2/5/2026 7:08:31 PM 127.0.0.1 GET /favicon.ico
 HTTP  2/5/2026 7:08:31 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 7:09:14 PM 127.0.0.1 GET /
 HTTP  2/5/2026 7:09:14 PM 127.0.0.1 Returned 200 in 0 ms
 HTTP  2/5/2026 7:09:27 PM 127.0.0.1 GET /
 HTTP  2/5/2026 7:09:27 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 7:09:29 PM 127.0.0.1 GET /
 HTTP  2/5/2026 7:09:29 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 7:09:30 PM 127.0.0.1 GET /
 HTTP  2/5/2026 7:09:30 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 7:09:39 PM 127.0.0.1 GET /
 HTTP  2/5/2026 7:09:39 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 7:10:02 PM 127.0.0.1 GET /
 HTTP  2/5/2026 7:10:02 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 7:10:09 PM 127.0.0.1 GET /
 HTTP  2/5/2026 7:10:09 PM 127.0.0.1 Returned 200 in 0 ms
 HTTP  2/5/2026 7:10:09 PM 127.0.0.1 GET /
 HTTP  2/5/2026 7:10:09 PM 127.0.0.1 Returned 200 in 0 ms
 HTTP  2/5/2026 7:10:13 PM 127.0.0.1 GET /
 HTTP  2/5/2026 7:10:13 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 7:10:25 PM 127.0.0.1 GET /
 HTTP  2/5/2026 7:10:25 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 7:10:49 PM 127.0.0.1 GET /
 HTTP  2/5/2026 7:10:49 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 7:15:36 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 7:15:36 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 7:30:31 PM 127.0.0.1 GET /
 HTTP  2/5/2026 7:30:31 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 7:30:36 PM 127.0.0.1 GET /
 HTTP  2/5/2026 7:30:36 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 7:30:57 PM 127.0.0.1 GET /favicon.ico
 HTTP  2/5/2026 7:30:57 PM 127.0.0.1 Returned 200 in 0 ms
 HTTP  2/5/2026 7:31:34 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 7:31:34 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 7:47:31 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 7:47:31 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 8:01:49 PM 127.0.0.1 GET /
 HTTP  2/5/2026 8:01:49 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 8:03:29 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 8:03:29 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 8:12:24 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 8:12:24 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 8:32:36 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 8:32:36 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 8:37:48 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 8:37:48 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  2/5/2026 8:43:00 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 8:43:00 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 8:48:13 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 8:48:13 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 9:00:38 PM 127.0.0.1 GET /
 HTTP  2/5/2026 9:00:38 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 9:10:53 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 9:10:53 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 9:13:06 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 9:13:06 PM 127.0.0.1 Returned 200 in 0 ms
 HTTP  2/5/2026 9:29:48 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 9:29:48 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 9:46:01 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 9:46:01 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  2/5/2026 10:01:29 PM 127.0.0.1 GET /
 HTTP  2/5/2026 10:01:29 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 10:03:24 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 10:03:24 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 10:06:19 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 10:06:19 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 10:25:48 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 10:25:48 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 10:26:28 PM 127.0.0.1 GET /
 HTTP  2/5/2026 10:26:28 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  2/5/2026 10:26:29 PM 127.0.0.1 GET /assets/index-ed09cec4.js
 HTTP  2/5/2026 10:26:29 PM 127.0.0.1 Returned 200 in 8 ms
 HTTP  2/5/2026 10:26:30 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 10:26:30 PM 127.0.0.1 Returned 200 in 0 ms
 HTTP  2/5/2026 10:26:30 PM 127.0.0.1 GET /assets/index-179954eb.css
 HTTP  2/5/2026 10:26:30 PM 127.0.0.1 Returned 304 in 0 ms
 HTTP  2/5/2026 10:26:30 PM 127.0.0.1 GET /favicon.ico
 HTTP  2/5/2026 10:26:30 PM 127.0.0.1 Returned 304 in 2 ms
 HTTP  2/5/2026 10:26:48 PM 127.0.0.1 GET /
 HTTP  2/5/2026 10:26:48 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 10:26:49 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 10:26:49 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 10:28:49 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 10:28:49 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 10:32:07 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 10:32:07 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 10:38:17 PM 127.0.0.1 GET /
 HTTP  2/5/2026 10:38:17 PM 127.0.0.1 Returned 200 in 0 ms
 HTTP  2/5/2026 10:38:19 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 10:38:19 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 10:38:28 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 10:38:28 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 10:39:41 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 10:39:41 PM 127.0.0.1 Returned 200 in 0 ms
 HTTP  2/5/2026 10:44:45 PM 127.0.0.1 GET /
 HTTP  2/5/2026 10:44:45 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 10:44:47 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 10:44:47 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  2/5/2026 10:44:50 PM 127.0.0.1 GET /
 HTTP  2/5/2026 10:44:50 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 10:44:51 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 10:44:51 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 10:45:01 PM 127.0.0.1 GET /
 HTTP  2/5/2026 10:45:01 PM 127.0.0.1 Returned 200 in 0 ms
 HTTP  2/5/2026 10:45:01 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 10:45:01 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 10:46:19 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 10:46:19 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 10:48:53 PM 127.0.0.1 GET /
 HTTP  2/5/2026 10:48:53 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 10:48:53 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 10:48:53 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 10:48:59 PM 127.0.0.1 GET /
 HTTP  2/5/2026 10:48:59 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 10:49:00 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 10:49:00 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 10:56:25 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 10:56:25 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 10:56:30 PM 127.0.0.1 GET /
 HTTP  2/5/2026 10:56:30 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 10:56:31 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 10:56:31 PM 127.0.0.1 Returned 200 in 0 ms
 HTTP  2/5/2026 10:57:05 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 10:57:05 PM 127.0.0.1 Returned 200 in 0 ms
 HTTP  2/5/2026 11:02:26 PM 127.0.0.1 GET /
 HTTP  2/5/2026 11:02:26 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 11:13:45 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 11:13:45 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 11:15:30 PM 127.0.0.1 GET /
 HTTP  2/5/2026 11:15:30 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 11:15:31 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 11:15:31 PM 127.0.0.1 Returned 200 in 0 ms
 HTTP  2/5/2026 11:15:43 PM 127.0.0.1 GET /
 HTTP  2/5/2026 11:15:43 PM 127.0.0.1 Returned 200 in 0 ms
 HTTP  2/5/2026 11:15:43 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 11:15:43 PM 127.0.0.1 Returned 200 in 0 ms
 HTTP  2/5/2026 11:29:35 PM 127.0.0.1 GET /
 HTTP  2/5/2026 11:29:35 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 11:29:35 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 11:29:35 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  2/5/2026 11:31:52 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 11:31:52 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 11:33:56 PM 127.0.0.1 GET /
 HTTP  2/5/2026 11:33:56 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 11:33:57 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 11:33:57 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 11:34:29 PM 127.0.0.1 GET /
 HTTP  2/5/2026 11:34:29 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 11:34:30 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 11:34:30 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 11:35:31 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 11:35:31 PM 127.0.0.1 Returned 200 in 0 ms
 HTTP  2/5/2026 11:49:38 PM 127.0.0.1 GET /
 HTTP  2/5/2026 11:49:38 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  2/5/2026 11:49:39 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 11:49:39 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 11:50:40 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 11:50:40 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 11:51:40 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 11:51:40 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 11:52:40 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 11:52:40 PM 127.0.0.1 Returned 200 in 0 ms
 HTTP  2/5/2026 11:53:40 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 11:53:40 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 11:54:40 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 11:54:40 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  2/5/2026 11:55:40 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 11:55:40 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 11:56:40 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 11:56:40 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 11:57:41 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 11:57:41 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 11:58:42 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 11:58:42 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/5/2026 11:59:43 PM 127.0.0.1 GET /usage.json
 HTTP  2/5/2026 11:59:43 PM 127.0.0.1 Returned 200 in 0 ms
 HTTP  2/6/2026 12:00:44 AM 127.0.0.1 GET /usage.json
 HTTP  2/6/2026 12:00:44 AM 127.0.0.1 Returned 200 in 0 ms
 HTTP  2/6/2026 12:01:45 AM 127.0.0.1 GET /usage.json
 HTTP  2/6/2026 12:01:45 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/6/2026 12:01:49 AM 127.0.0.1 GET /
 HTTP  2/6/2026 12:01:49 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/6/2026 12:01:49 AM 127.0.0.1 GET /usage.json
 HTTP  2/6/2026 12:01:49 AM 127.0.0.1 Returned 200 in 0 ms
 HTTP  2/6/2026 12:17:44 AM 127.0.0.1 GET /
 HTTP  2/6/2026 12:17:44 AM 127.0.0.1 Returned 200 in 0 ms
 HTTP  2/6/2026 12:17:44 AM 127.0.0.1 GET /usage.json
 HTTP  2/6/2026 12:17:44 AM 127.0.0.1 Returned 200 in 4 ms
 HTTP  2/6/2026 12:17:56 AM 127.0.0.1 GET /
 HTTP  2/6/2026 12:17:56 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/6/2026 12:17:57 AM 127.0.0.1 GET /usage.json
 HTTP  2/6/2026 12:17:57 AM 127.0.0.1 Returned 200 in 0 ms
 HTTP  2/6/2026 12:18:58 AM 127.0.0.1 GET /usage.json
 HTTP  2/6/2026 12:18:58 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/6/2026 12:19:46 AM 127.0.0.1 GET /
 HTTP  2/6/2026 12:19:46 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/6/2026 12:19:47 AM 127.0.0.1 GET /usage.json
 HTTP  2/6/2026 12:19:47 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/6/2026 12:19:51 AM 127.0.0.1 GET /
 HTTP  2/6/2026 12:19:51 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/6/2026 12:19:51 AM 127.0.0.1 GET /usage.json
 HTTP  2/6/2026 12:19:51 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/6/2026 12:19:53 AM 127.0.0.1 GET /
 HTTP  2/6/2026 12:19:53 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/6/2026 12:19:53 AM 127.0.0.1 GET /usage.json
 HTTP  2/6/2026 12:19:53 AM 127.0.0.1 Returned 200 in 0 ms
 HTTP  2/6/2026 12:20:54 AM 127.0.0.1 GET /usage.json
 HTTP  2/6/2026 12:20:54 AM 127.0.0.1 Returned 200 in 0 ms
 HTTP  2/6/2026 12:21:54 AM 127.0.0.1 GET /usage.json
 HTTP  2/6/2026 12:21:54 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/6/2026 12:22:54 AM 127.0.0.1 GET /usage.json
 HTTP  2/6/2026 12:22:54 AM 127.0.0.1 Returned 200 in 2 ms
 HTTP  2/6/2026 12:23:54 AM 127.0.0.1 GET /usage.json
 HTTP  2/6/2026 12:23:54 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/6/2026 12:24:54 AM 127.0.0.1 GET /usage.json
 HTTP  2/6/2026 12:24:54 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/6/2026 12:25:54 AM 127.0.0.1 GET /usage.json
 HTTP  2/6/2026 12:25:54 AM 127.0.0.1 Returned 200 in 0 ms
 HTTP  2/6/2026 12:26:54 AM 127.0.0.1 GET /usage.json
 HTTP  2/6/2026 12:26:54 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/6/2026 12:27:55 AM 127.0.0.1 GET /usage.json
 HTTP  2/6/2026 12:27:55 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/6/2026 12:28:57 AM 127.0.0.1 GET /usage.json
 HTTP  2/6/2026 12:28:57 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/6/2026 12:29:57 AM 127.0.0.1 GET /usage.json
 HTTP  2/6/2026 12:29:57 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/6/2026 12:30:58 AM 127.0.0.1 GET /usage.json
 HTTP  2/6/2026 12:30:58 AM 127.0.0.1 Returned 200 in 0 ms
 HTTP  2/6/2026 12:31:59 AM 127.0.0.1 GET /usage.json
 HTTP  2/6/2026 12:31:59 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/6/2026 12:33:00 AM 127.0.0.1 GET /usage.json
 HTTP  2/6/2026 12:33:00 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/6/2026 12:34:01 AM 127.0.0.1 GET /usage.json
 HTTP  2/6/2026 12:34:01 AM 127.0.0.1 Returned 200 in 3 ms
 HTTP  2/6/2026 12:35:02 AM 127.0.0.1 GET /usage.json
 HTTP  2/6/2026 12:35:02 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  2/6/2026 12:36:03 AM 127.0.0.1 GET /usage.json
 HTTP  2/6/2026 12:36:03 AM 127.0.0.1 Returned 200 in 0 ms
 HTTP  2/6/2026 12:37:04 AM 127.0.0.1 GET /usage.json
 HTTP  2/6/2026 12:37:04 AM 127.0.0.1 Returned 200 in 0 ms
 HTTP  2/6/2026 12:38:05 AM 127.0.0.1 GET /usage.json
